product_ids,market_ids,firm_ids,prices,shares,costs,markups,sales,size,weight,hp,mpg,vehicle_type,engine_type,plant_country
2015_honda_civic,2015,honda,0.21915,0.006367377,0.17605083356700246,0.1966651445721996,300861,0.8596249449840001,2.891,1.43,3.3,Car,ICE,Canada
2015_honda_civichybrid,2015,honda,0.25935,7.441750558131292e-05,0.21362524997138863,0.17630518615234778,3502,0.8596249449840001,2.873,1.1,4.5,Car,Hybrid,United States
2015_honda_crosstour,2015,honda,0.33315,0.000162814,0.28951789057618765,0.1309683608699155,7693,1.0198624347288001,3.929,2.78,2.3,Car,ICE,United States
2015_honda_crv,2015,honda,0.28145,0.006609619,0.23513181550844656,0.16456985074277286,312307,0.8920166095776001,3.472,1.85,2.9,SUV,ICE,Canada
2015_honda_crzhybrid,2015,honda,0.2199,4.5752929066583864e-05,0.17563553370440532,0.2012936166238958,2139,0.763489534,2.663,1.3,3.4,Car,Hybrid,Japan
2015_honda_fit,2015,honda,0.1756,0.001031526,0.1343155798469605,0.23510489836582865,48740,0.7444443968000001,2.573,1.3,3.5,Car,ICE,Mexico
2015_honda_odyssey,2015,honda,0.36575,0.002232913,0.31495644283461777,0.13887507085545386,105506,1.2892603341539999,4.533,2.48,2.2,Van,ICE,United States
2015_honda_pilot,2015,honda,0.3537,0.001582019,0.3069937037127529,0.13205059736286992,74751,1.043395767,4.414,2.5,2.1,SUV,ICE,United States
2015_hyundai_accent,2015,hyundai,0.14745,0.000919273,0.11022266752171356,0.25247427926949095,43436,0.799083282,2.48,1.37,3,Car,ICE,Korea
2015_hyundai_azera,2015,hyundai,0.34,7.136739210662815e-05,0.29765629589804476,0.12454030618222134,3365,0.98260827,3.684,2.93,2.3,Car,ICE,Korea
2015_hyundai_elantra,2015,hyundai,0.1825,0.001954185,0.14371605704021895,0.21251475594400576,92336,0.869381194,2.818,1.45,3.1,Car,ICE,Korea
2015_hyundai_elantragt,2015,hyundai,0.188,0.000122158,0.14982406414491325,0.20306348859088694,5772,0.824161753,2.855,1.73,2.75,Car,ICE,Korea
2015_hyundai_equus,2015,hyundai,0.65125,3.055185988772509e-05,0.5997201407996628,0.079124544,1395,1.049349933,4.5845,4.29,1.8,Car,ICE,Korea
2015_hyundai_genesis,2015,hyundai,0.405,0.000484864,0.35922041713541736,0.11303600707304362,22910,1.015249935,4.295,3.11,1.9,Car,ICE,Korea
2015_hyundai_genesiscoupe,2015,hyundai,0.2795,0.000110306,0.23888090222583172,0.14532772012224796,5212,0.9292235516408002,3.5305,3.48,1.9,Car,ICE,Korea
2015_hyundai_santafe,2015,hyundai,0.319,0.000380124,0.2765603147262294,0.13303976574849724,17961,0.995001325,3.933,2.9,2.1,SUV,ICE,Korea
2015_hyundai_santafesport,2015,hyundai,0.267,0.000954701,0.22466606426313165,0.15855406643021858,45110,0.948638828,3.569,1.9,2.2,SUV,ICE,United States
2015_hyundai_sonata,2015,hyundai,0.23225,0.003289138,0.19210245315605975,0.17286349556056085,155413,0.974079104,3.466,1.85,2.85,Car,ICE,United States
