Manufacturers,Makes,Carlines,year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,,,,
Ford Motor Company,Ford,Escape,2022_ford_escape,MPV,42%,30% MX,,US,,MX (2.5L),,US,,,,,,
Ford Motor Company,Ford,Expedition,2022_ford_expedition,MPV,50%, ,,US,,US  ,,US,,,,,,
Ford Motor Company,Ford,Explorer,2022_ford_explorer,MPV,45%,15% MX,,US,,US, ,US,,,,,,
Ford Motor Company,Ford,F150,2022_ford_f150,Truck,50%,,,US,US,MX (3.5L),"US (2.7L, 3.3L)",US,,,,,,
Ford Motor Company,Ford,F150,2022_ford_f150,Truck,50%,,,US,US,US (5.0L),,US,,,,,,
Ford Motor Company,Ford,F150,2022_ford_f150,Truck,50%,,,US,US,UK (3.0L),,US,,,,,,
Ford Motor Company,Ford,Fiesta,2022_ford_fiesta,PC,,,,,,,,,,,,,,
Ford Motor Company,Ford,Ranger,2022_ford_ranger,MPV,55%,,,US,,US,,US,,,,,,
Ford Motor Company,Ford,Fusion,2022_ford_fusion,PC,26%,55% MX,,MX,,UK (1.5L),ESP (2.3L),US,,,,,,
Ford Motor Company,Ford,Fusion,2022_ford_fusion,PC,26%,55% MX,,MX,,"MX (2.5L, 2.0L e)",US (2.7L),US,,,,,,
Ford Motor Company,Ford,Ford GT,2022_ford_gt,PC,12%,,,CN,,US,,GER,,,,,,
Ford Motor Company,Ford,Mustang Mach-E,2022_ford_mustangmache,MPV,14%,80% MX,,MX,,MX, ,MX,,,,,,
Ford Motor Company,Ford,Maverick,2022_ford_maverick,MPV,26%,,,MX,,MX (2.5L),ESP (2.0L),US,,,,,,
Ford Motor Company,Ford,Mustang,2022_ford_mustang,PC,50%, ,,US,,US, ,US, ,,,,,
Ford Motor Company,Ford,Mustang,2022_ford_mustang,PC,51%,20% MX,,US,,ESP (2.3),,CH (MAN),US (AUTO),,,,,
Ford Motor Company,Ford,Mustang,2022_ford_mustang,PC,51%,20% MX,,US,,G (5.0),,CH,,,,,,
Ford Motor Company,Ford,Mustang,2022_ford_mustang,PC,51%,20% MX,,US,,US (5.2),,MX,,,,,,
Ford Motor Company,Ford,Transit Connect,2022_ford_transit,Truck,15%,50% ESP,,ESP,,US, ,US, ,,,,,
