Manufacturers,Makes,Carlines,year_make_model,check,,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,allowed_names,
GM LLC,Chevrolet,Bolt EUV,2024_chevrolet_bolteuv,FALSE,OK,PC,28%,28% T,21% CH,US,,,,K,,,2024_genesis_gv60ev,TRUE
GM LLC,Chevrolet,Brightdrop,2024_chevrolet_brightdrop,FALSE,OK,MPV,77%,,,US,,,,,,,2024_genesis_gv70,TRUE
GM LLC,Chevrolet,Camaro,2024_chevrolet_camaro,TRUE,OK,PC,45%,18% M,,US,,US,,US,M,,2024_genesis_gv80,TRUE
GM LLC,Chevrolet,Colorado,2024_chevrolet_colorado,TRUE,OK,Truck,51%,19% M,,US,,US,,US,,,2024_gmc_acadia,TRUE
GM LLC,Chevrolet,Corvette,2024_chevrolet_corvette,TRUE,OK,PC,40%,31% M,,US,,US,,US,,,2024_gmc_canyon,TRUE
GM LLC,Chevrolet,Equinox,2024_chevrolet_equinox,TRUE,OK,MPV,20%,42% M,,M,CH,M,AR,M,CN,,2024_gmc_savana,TRUE
GM LLC,Chevrolet,Equinox EV,2024_chevrolet_equinoxev,FALSE,OK,PC,62%,18% CH,,M,,CH,,,,,2024_gmc_sierra,TRUE
GM LLC,Chevrolet,Express,2024_chevrolet_express,TRUE,OK,MPV,54%,22% M,,US,US,US,,US,US,,2024_gmc_sierraev,FALSE
GM LLC,Chevrolet,Lyric,2024_chevrolet_lyricev,FALSE,OK,PC,62%,18% CH,,US,,CH,,,,,2024_gmc_terrain,TRUE
GM LLC,Chevrolet,Malibu,2024_chevrolet_malibu,TRUE,OK,PC,39%,17% M,15% CH,US,,US,,US,,,2024_gmc_yukon,TRUE
GM LLC,Chevrolet,Origin AV,2024_chevrolet_origin,FALSE,OK,MPV,28%,28% TW,21% CH,US,,,,,,,2024_gmc_yukonxl,FALSE
GM LLC,Chevrolet,Silverado,2024_chevrolet_silverado,TRUE,OK,Truck,37%,36% M,,US,M / CN,US,M,US,,,2024_honda_accord,TRUE
GM LLC,Chevrolet,Silverado/Sierra EV,2024_chevrolet_silveradoev,TRUE,OK,Truck,36%,33% K,,US,,,,,,,2024_honda_accordhybrid,FALSE
GM LLC,Chevrolet,Suburban/Tahoe,2024_chevrolet_tahoe,TRUE,OK,MPV,37%,36% M,,US,,US,M,US,,,2024_honda_civic,TRUE
GM LLC,Chevrolet,Trailblazer,2024_chevrolet_trailblazer,TRUE,OK,MPV,3%,55% K,21% M,K,,M,K,M,,,2024_honda_crv,TRUE
GM LLC,Chevrolet,Traverse,2024_chevrolet_traverse,TRUE,OK,MPV,31%,35% M,,US,,M,US,US,M,,2024_honda_crvhybrid,FALSE
GM LLC,Chevrolet,Traverse,2024_chevrolet_traverse,TRUE,OK,MPV,35%,27% M,,US,,,,,,,2024_honda_hrv,TRUE
GM LLC,Buick,Trax,2024_chevrolet_trax,TRUE,OK,MPV,2%,50% K,18% CH,K,,M,,M,,,2024_honda_odyssey,TRUE
GM LLC,GMC,Acadia,2024_gmc_acadia,TRUE,OK,MPV,31%,35% M,,US,,US,,US,,,2024_honda_passport,TRUE
GM LLC,GMC,Canyon,2024_gmc_canyon,TRUE,OK,Truck,51%,19% M,,US,,US,,US,,,2024_honda_pilot,TRUE
GM LLC,GMC,Hummer,2024_gmc_hummer,FALSE,OK,T/MPV,36%,33% K,,US,,,,,,,2024_honda_prologueev,TRUE
GM LLC,GMC,Savanna,2024_gmc_savana,TRUE,OK,MPV,54%,22% M,,US,US,US,,US,,,2024_honda_ridgeline,TRUE
